Symbol,Date,Open,High,Low,Close,Adj Close,Volume
WFC,8/1/2019,48.41,48.639999,46.950001,47.060001,46.09494,22654400
WFC,8/2/2019,47.110001,47.610001,46.369999,47.439999,46.467144,20159000
WFC,8/5/2019,46.5,46.799999,45.849998,46.139999,45.193806,27113500
WFC,8/6/2019,46.610001,47.029999,45.82,46.93,45.967609,19446100
WFC,8/7/2019,46.07,46.150002,45.23,45.810001,44.870575,27830000
WFC,8/8/2019,45.689999,46.639999,45.549999,46.400002,45.960148,20671300
WFC,8/9/2019,46.02,46.66,45.75,46.299999,45.861095,19786100
WFC,8/12/2019,45.509998,45.91,45.330002,45.43,44.999344,16460500
WFC,8/13/2019,45.610001,46.419998,45.259998,45.959999,45.524319,16649100
WFC,8/14/2019,45.02,45.099998,43.939999,43.970001,43.553185,28786700
WFC,8/15/2019,44.299999,44.5,43.34,43.380001,42.968777,27900000
WFC,8/16/2019,43.740002,44.540001,43.630001,44.389999,43.9692,21196600
WFC,8/19/2019,45.130001,45.470001,44.93,45.25,44.821049,15378100
WFC,8/20/2019,45.040001,45.040001,44.630001,44.68,44.256454,13345800
WFC,8/21/2019,44.959999,45.279999,44.810001,45,44.573418,13513700
WFC,8/22/2019,45.330002,45.830002,45.060001,45.619999,45.187542,14703900
WFC,8/23/2019,45.200001,45.650002,44.09,44.419998,43.998917,21152500
WFC,8/26/2019,44.709999,45,44.490002,44.98,44.553608,15973100
WFC,8/27/2019,45.23,45.330002,44.43,44.75,44.32579,15038200
WFC,8/28/2019,44.639999,45.779999,44.490002,45.470001,45.038963,14740000
WFC,8/29/2019,46,46.490002,45.779999,46.189999,45.752136,16196600
WFC,8/30/2019,46.540001,46.900002,46.41,46.57,46.128536,15250600
WFC,9/3/2019,46.310001,46.34,45.48,46.09,45.653088,17224200
WFC,9/4/2019,46.540001,46.700001,46.279999,46.5,46.0592,17123100
WFC,9/5/2019,47.310001,48.169998,47.299999,47.619999,47.168583,19243400
WFC,9/6/2019,47.580002,47.77,47.099998,47.150002,46.703041,18846100
WFC,9/9/2019,47.32,48.639999,46.889999,48.41,47.951092,27651400
WFC,9/10/2019,48.07,48.93,48.07,48.310001,47.852043,25822400
WFC,9/11/2019,48.290001,48.98,47.790001,48.849998,48.386921,19190000
WFC,9/12/2019,48.52,49.080002,48.220001,48.650002,48.18882,24305900
WFC,9/13/2019,49.009998,49.360001,48.66,48.919998,48.456257,25142400
WFC,9/16/2019,48.459999,49,48.400002,48.98,48.51569,17759700
WFC,9/17/2019,48.700001,48.860001,48.310001,48.759998,48.297775,18346100
WFC,9/18/2019,48.630001,49.209999,48.43,48.93,48.466164,20511700
WFC,9/19/2019,48.990002,49.310001,48.869999,48.91,48.446354,16887500
WFC,9/20/2019,49.07,49.299999,48.610001,48.630001,48.16901,30229400
WFC,9/23/2019,48.32,49.09,48.310001,48.959999,48.49588,20603400
WFC,9/24/2019,48.98,49.220001,48.470001,48.650002,48.18882,21629300
WFC,9/25/2019,48.73,49.540001,48.650002,49.259998,48.793034,21313100
WFC,9/26/2019,49.25,49.369999,48.82,48.869999,48.406731,19984000
WFC,9/27/2019,50.400002,51.41,50.25,50.709999,50.22929,59467400
WFC,9/30/2019,50.77,50.849998,50.060001,50.439999,49.961849,26897100
WFC,10/1/2019,50.650002,50.779999,49,49.060001,48.594933,27249300
WFC,10/2/2019,48.720001,49.040001,48.369999,48.470001,48.010525,23515900
WFC,10/3/2019,48.299999,48.509998,47.32,48.48,48.020428,20212200
WFC,10/4/2019,48.66,49.25,48.529999,49.209999,48.743507,15779500
WFC,10/7/2019,48.950001,49.290001,48.75,48.810001,48.347301,15691900
WFC,10/8/2019,48.25,48.349998,47.540001,47.82,47.366688,19734000
WFC,10/9/2019,48.169998,48.419998,48.080002,48.150002,47.693558,13467800
WFC,10/10/2019,48.330002,49.07,48.16,48.650002,48.18882,18267800
WFC,10/11/2019,49.459999,49.919998,49.150002,49.209999,48.743507,23024600
WFC,10/14/2019,49.09,49.450001,48.98,49.27,48.80294,16870500
WFC,10/15/2019,49.279999,51.25,48.779999,50.110001,49.634979,38478400
WFC,10/16/2019,50.040001,50.279999,49.450001,49.59,49.119907,23728400
WFC,10/17/2019,49.98,50.169998,49.48,49.610001,49.139717,20560100
WFC,10/18/2019,49.34,50.220001,49.32,49.970001,49.496307,21199500
WFC,10/21/2019,50.279999,50.5,50.18,50.459999,49.981659,19409100
WFC,10/22/2019,50.439999,51.02,50.23,50.619999,50.140144,18526900
WFC,10/23/2019,50.720001,50.970001,50.57,50.93,50.447205,14173700
WFC,10/24/2019,50.66,51.200001,50.66,51.099998,50.615593,16695400
WFC,10/25/2019,51.080002,51.73,51,51.57,51.081139,17433300
WFC,10/28/2019,51.939999,52.049999,51.57,51.650002,51.160381,23914800
WFC,10/29/2019,51.5,52.360001,51.5,52.169998,51.675449,21063000
WFC,10/30/2019,51.880001,52.279999,51.619999,52.029999,51.536777,16155900
WFC,10/31/2019,51.77,52.029999,51.150002,51.630001,51.140572,18814700
WFC,11/1/2019,52.130001,52.290001,51.91,52.18,51.685356,16359100
WFC,11/4/2019,52.580002,52.799999,52.240002,52.720001,52.220238,17559900
WFC,11/5/2019,52.740002,53.5,52.740002,53.299999,52.794739,25965300
WFC,11/6/2019,53.290001,53.84,53.169998,53.799999,53.289997,22051100
WFC,11/7/2019,53.779999,54.400002,53.779999,54,54,23452500
WFC,11/8/2019,53.830002,54.23,53.560001,54.099998,54.099998,14722100
WFC,11/11/2019,53.790001,54.139999,53.73,54.049999,54.049999,10659400
WFC,11/12/2019,53.75,54.240002,53.619999,54.220001,54.220001,15187600
WFC,11/13/2019,53.810001,53.900002,53.209999,53.290001,53.290001,16846800
WFC,11/14/2019,53.220001,53.560001,53.099998,53.490002,53.490002,16491400
WFC,11/15/2019,53.779999,53.939999,53.43,53.799999,53.799999,15225300
WFC,11/18/2019,53.84,54.110001,53.650002,54,54,14374600
WFC,11/19/2019,54.099998,54.330002,53.869999,54.029999,54.029999,14434100
WFC,11/20/2019,53.73,53.860001,53.25,53.540001,53.540001,14994700
WFC,11/21/2019,53.84,53.93,53.34,53.560001,53.560001,16186100
WFC,11/22/2019,53.900002,54.349998,53.810001,54.279999,54.279999,13823400
WFC,11/25/2019,54.529999,54.529999,54.040001,54.209999,54.209999,15561000
WFC,11/26/2019,54.110001,54.119999,53.73,53.810001,53.810001,18078900
WFC,11/27/2019,54.150002,54.400002,54.009998,54.34,54.34,16352900
WFC,11/29/2019,54.07,54.75,54.07,54.459999,54.459999,10508600
WFC,12/2/2019,54.310001,54.439999,53.549999,53.619999,53.619999,20252700
WFC,12/3/2019,53.009998,53.049999,52.169998,52.580002,52.580002,25560700
WFC,12/4/2019,52.599998,53.48,52.540001,53.240002,53.240002,18867400
WFC,12/5/2019,53.41,53.529999,53.099998,53.23,53.23,13499700
WFC,12/6/2019,53.860001,54.41,53.689999,54.369999,54.369999,18325700
WFC,12/9/2019,54.169998,54.549999,53.91,53.919998,53.919998,15070800
WFC,12/10/2019,53.490002,53.869999,53.380001,53.689999,53.689999,15959100
WFC,12/11/2019,53.740002,53.98,53.07,53.169998,53.169998,16834200
WFC,12/12/2019,53.369999,54.549999,53.099998,54.360001,54.360001,19119500
WFC,12/13/2019,54.049999,54.419998,53.43,53.790001,53.790001,19179300
WFC,12/16/2019,54.240002,54.560001,54.220001,54.220001,54.220001,19793500
WFC,12/17/2019,54.110001,54.509998,53.990002,54.34,54.34,16723400
WFC,12/18/2019,54.459999,54.459999,53.630001,53.669998,53.669998,18857000
WFC,12/19/2019,53.740002,53.830002,53.419998,53.630001,53.630001,18133300
WFC,12/20/2019,54.049999,54.049999,53.07,53.330002,53.330002,66318000
WFC,12/23/2019,53.34,54,53.25,53.810001,53.810001,17637700
WFC,12/24/2019,53.950001,54.040001,53.740002,53.82,53.82,4635500
WFC,12/26/2019,54.049999,54.389999,53.950001,54.150002,54.150002,12517100
WFC,12/27/2019,54.290001,54.32,53.869999,53.919998,53.919998,9892000
WFC,12/30/2019,54.169998,54.259998,53.5,53.599998,53.599998,10900500
WFC,12/31/2019,53.529999,53.82,53.459999,53.799999,53.799999,12566000
WFC,1/2/2020,53.849998,54.040001,53.509998,53.75,53.75,16803100
WFC,1/3/2020,53.110001,53.619999,52.900002,53.419998,53.419998,15608800
WFC,1/6/2020,52.740002,53.200001,52.720001,53.099998,53.099998,13200300
WFC,1/7/2020,53.049999,53.049999,52.470001,52.66,52.66,13278600
WFC,1/8/2020,52.84,53.330002,52.799999,52.82,52.82,16585600
WFC,1/9/2020,53.200001,53.200001,52.48,52.73,52.73,20817400
WFC,1/10/2020,52.790001,52.900002,52.48,52.5,52.5,13777600
WFC,1/13/2020,52.5,52.5,51.830002,52.110001,52.110001,25197600
WFC,1/14/2020,50.23,50.740002,49.25,49.299999,49.299999,56668300
WFC,1/15/2020,48.830002,48.84,47.98,48.32,48.32,47148000
WFC,1/16/2020,48.459999,49.32,47.84,49.25,49.25,37020200
WFC,1/17/2020,49.369999,49.419998,48.529999,49.18,49.18,29669200
WFC,1/21/2020,49.09,49.880001,48.799999,48.939999,48.939999,30858300
WFC,1/22/2020,49.029999,49.09,48.290001,48.560001,48.560001,20367700
WFC,1/23/2020,48.389999,48.450001,47.98,48.220001,48.220001,17297900
WFC,1/24/2020,48.189999,48.209999,47.18,47.57,47.57,21239600
WFC,1/27/2020,46.889999,47.419998,46.740002,47.099998,47.099998,18156200
WFC,1/28/2020,47.509998,47.790001,47.279999,47.369999,47.369999,16673300
WFC,1/29/2020,47.419998,47.900002,47.259998,47.27,47.27,16166300
WFC,1/30/2020,47.169998,47.950001,47.040001,47.91,47.91,14760200
WFC,1/31/2020,47.419998,47.450001,46.75,46.939999,46.939999,23075900
